t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
3630,2944,12.38132365752122,1,49,0.0008058608058608059,0.03948717948717948,-2.624,0.288,-8.0,1
3649,2945,12.385529270176628,2,41,0.0016117216117216117,0.03304029304029304,-2.616,0.288,-8.0,1
3667,2945,12.385529270176628,6,58,0.004835164835164834,0.04673992673992673,-2.592,0.296,-8.0,1
3686,2945,12.385529270176628,12,59,0.009670329670329669,0.047545787545787546,-2.544,0.304,-8.0,1
3705,2945,12.385529270176628,5,64,0.00402930402930403,0.051575091575091575,-2.496,0.312,-8.0,1
3723,2945,12.385529270176628,5,54,0.00402930402930403,0.04351648351648351,-2.456,0.32,-8.0,1
3742,2945,12.385529270176628,15,49,0.012087912087912088,0.03948717948717948,-2.416,0.32,-8.0,1
3760,2945,12.385529270176628,0,46,0.0,0.03706959706959707,-2.408,0.32,-8.0,1
3779,2945,12.385529270176628,0,72,0.0,0.05802197802197802,-2.424,0.32,-8.0,1
3797,2945,12.385529270176628,2,58,0.0016117216117216117,0.04673992673992673,-2.424,0.32,-8.0,1
3816,2945,12.385529270176628,3,58,0.002417582417582417,0.04673992673992673,-2.408,0.32,-8.0,1
3834,2945,12.385529270176628,2,64,0.0016117216117216117,0.051575091575091575,-2.392,0.32,-8.0,1
3853,2945,12.385529270176628,5,64,0.00402930402930403,0.051575091575091575,-2.36,0.328,-8.0,1
3871,2945,12.385529270176628,16,49,0.012893772893772894,0.03948717948717948,-2.328,0.328,-8.0,1
3890,2945,12.385529270176628,16,64,0.012893772893772894,0.051575091575091575,-2.272,0.336,-8.0,1
3908,2945,12.385529270176628,5,57,0.00402930402930403,0.04593406593406593,-2.232,0.336,-8.0,1
3927,2945,12.385529270176628,3,60,0.002417582417582417,0.04835164835164835,-2.208,0.344,-8.0,1
3945,2945,12.385529270176628,11,63,0.008864468864468863,0.05076923076923076,-2.184,0.344,-8.0,1
3964,2945,12.385529270176628,0,52,0.0,0.0419047619047619,-2.16,0.344,-8.0,1
3982,2945,12.385529270176628,0,61,0.0,0.049157509157509154,-2.136,0.344,-8.0,1
4001,2945,12.385529270176628,0,57,0.0,0.04593406593406593,-2.112,0.352,-8.0,1
4019,2945,12.385529270176628,0,48,0.0,0.038681318681318674,-2.096,0.352,-8.0,1
4038,2945,12.385529270176628,1,61,0.0008058608058608059,0.049157509157509154,-2.088,0.352,-8.0,1
4056,2945,12.385529270176628,2,64,0.0016117216117216117,0.051575091575091575,-2.088,0.352,-8.0,1
4075,2945,12.385529270176628,0,51,0.0,0.041098901098901096,-2.088,0.352,-8.0,1
4093,2945,12.385529270176628,4,48,0.0032234432234432234,0.038681318681318674,-2.088,0.352,-8.0,1
4112,2945,12.385529270176628,4,50,0.0032234432234432234,0.040293040293040296,-2.112,0.352,-8.0,1
4130,2945,12.385529270176628,0,56,0.0,0.045128205128205125,-2.12,0.352,-8.0,1
4149,2945,12.385529270176628,9,54,0.007252747252747252,0.04351648351648351,-2.12,0.352,-8.0,1
4167,2945,12.385529270176628,9,58,0.007252747252747252,0.04673992673992673,-2.112,0.352,-8.0,1
4186,2945,12.385529270176628,12,53,0.009670329670329669,0.0427106227106227,-2.104,0.352,-8.0,1
4204,2945,12.385529270176628,14,48,0.011282051282051281,0.038681318681318674,-2.112,0.352,-8.0,1
4223,2945,12.385529270176628,16,52,0.012893772893772894,0.0419047619047619,-2.12,0.352,-8.0,1
4241,2945,12.385529270176628,16,61,0.012893772893772894,0.049157509157509154,-2.12,0.352,-8.0,1
4260,2945,12.385529270176628,16,55,0.012893772893772894,0.044322344322344324,-2.128,0.344,-8.0,1
4278,2945,12.385529270176628,9,52,0.007252747252747252,0.0419047619047619,-2.152,0.344,-8.0,1
4297,2945,12.385529270176628,10,51,0.00805860805860806,0.041098901098901096,-2.168,0.344,-8.0,1
4315,2945,12.385529270176628,16,57,0.012893772893772894,0.04593406593406593,-2.184,0.344,-8.0,1
4334,2945,12.385529270176628,9,62,0.007252747252747252,0.04996336996336996,-2.192,0.336,-8.0,1
4352,2945,12.385529270176628,4,62,0.0032234432234432234,0.04996336996336996,-2.208,0.336,-8.0,1
4371,2945,12.385529270176628,13,57,0.010476190476190476,0.04593406593406593,-2.224,0.336,-8.0,1
4389,2945,12.385529270176628,11,57,0.008864468864468863,0.04593406593406593,-2.224,0.336,-8.0,1
