Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
194.000000,20498.561323,18584.939073,6160.185475,14861.250205,10550.537473,-18305.542267,508.122207,-20653.391856,22180.038354,25935.846679,-17024.720255,-11775.547180,1812.100626,10.572375,7849.798542,4820.556023,-0.002000,-0.010000,1.012000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715503,0.000000
196.000000,20540.180271,18628.547326,6198.898697,14863.485380,10576.510200,-18258.245976,547.930664,-20607.146097,22164.280375,25921.653321,-17042.646354,-11791.774546,1796.297943,-2.838672,7847.026926,4814.521052,-0.002000,-0.010000,1.012000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715513,0.000000
198.000000,20516.710939,18608.453108,6179.050348,14861.540778,10561.512180,-18276.932034,528.149370,-20629.721359,22198.657358,25965.753313,-16998.211086,-11746.445208,1834.720592,41.820114,7833.235900,4824.601689,-0.002000,-0.010000,1.012000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715523,0.000000
200.000000,20502.428174,18597.120773,6165.304025,14861.116095,10552.616185,-18295.998072,517.576995,-20643.266516,22148.745912,25909.695138,-17058.985479,-11805.453814,1780.495260,-16.026201,7842.377763,4810.698904,-0.002000,-0.010000,1.012000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715544,0.000000
202.000000,20538.012151,18632.816509,6203.704322,14861.741944,10581.069956,-18253.507406,552.199847,-20601.692271,22181.424163,25947.290772,-17016.584220,-11766.159447,1821.421304,15.847387,7834.465246,4816.979744,-0.002000,-0.010000,1.008000,192.000000,127.500000,120.000000,127.500000,88.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1771493568.715554,0.000000
204.000000,20486.513732,18581.005166,6158.106763,14856.176359,10542.826121,-18311.577238,501.483739,-20660.499711,22170.225939,25926.950684,-17034.040932,-11786.320720,1807.585574,1.609326,7841.908376,4816.286840,-0.002000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715564,0.000000
206.000000,20533.944134,18627.139166,6201.267982,14862.233682,10580.086479,-18262.805732,543.281501,-20610.789431,22157.306630,25914.970149,-17048.770732,-11799.798822,1798.399007,-10.639430,7850.111467,4807.815529,-0.002000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715575,0.000000
208.000000,20519.214334,18610.755338,6192.081415,14863.351269,10574.900874,-18273.668679,532.552663,-20624.245182,22202.211285,25961.662944,-16994.187772,-11744.925290,1844.957691,39.651995,7849.753839,4823.908785,-0.002000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715592,0.000000
210.000000,20502.741099,18593.991529,6174.669406,14857.271595,10562.115677,-18294.947540,517.576995,-20641.701894,22152.523357,25898.318100,-17056.504435,-11808.091320,1790.397083,-20.675364,7854.514760,4805.558003,-0.002000,-0.010000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715603,0.000000
212.000000,20545.879966,18639.298515,6215.371932,14865.586444,10598.347854,-18251.763970,557.519562,-20595.992577,22190.767192,25946.530813,-17008.470536,-11760.057421,1829.646746,26.576224,7851.810199,4818.387904,-0.004000,-0.008000,1.010000,192.000000,127.500000,112.000000,127.500000,96.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1771493568.715614,0.000000
214.000000,20500.058889,18588.448297,6166.354557,14863.015993,10560.662813,-18306.682206,507.071675,-20649.413246,22179.256043,25931.868068,-17025.189641,-11777.871761,1817.532100,8.426608,7854.671223,4811.660029,-0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715626,0.000000
216.000000,20546.774035,18633.956448,6203.950191,14873.945996,10589.138936,-18257.754237,546.343690,-20601.200533,22171.745857,25923.240295,-17035.627906,-11786.924218,1808.032609,1.497567,7853.978318,4808.262564,-0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715636,0.000000
218.000000,20528.646771,18617.863192,6189.488612,14872.247263,10578.141877,-18271.902892,531.502131,-20620.355978,22211.084927,25963.361676,-16989.046870,-11740.298479,1847.930473,45.441096,7841.349583,4822.210052,-0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715647,0.000000
220.000000,20508.261980,18597.411346,6172.434231,14867.329880,10565.893121,-18292.310034,517.666402,-20639.734940,22161.195834,25902.497876,-17052.503473,-11802.793956,1789.592420,-0.804663,7846.937519,4807.144977,-0.004000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715657,0.000000
222.000000,20548.830396,18635.945754,6212.488557,14875.689432,10590.368282,-18249.931127,558.391280,-20595.500838,22195.461058,25945.033246,-17006.637693,-11758.246929,1833.535949,25.168064,7842.243653,4819.125512,-0.002000,-0.008000,1.010000,192.000000,127.500000,120.000000,127.500000,96.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1771493568.715668,0.000000
224.000000,20489.218293,18572.533855,6155.849237,14864.155932,10546.692973,-18313.879468,505.104721,-20660.320897,22175.053915,25916.981806,-17032.073978,-11781.380985,1811.452426,4.827977,7841.282528,4811.391808,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715678,0.000000
226.000000,20531.038407,18613.146974,6192.103766,14867.553397,10575.750241,-18270.293566,546.947187,-20615.192725,22159.497101,25901.492047,-17051.631755,-11800.268209,1791.581725,-8.560718,7846.199911,4807.368494,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715689,0.000000
228.000000,20502.517581,18586.257826,6167.226275,14861.093743,10555.141932,-18298.076784,521.756771,-20641.254859,22193.449401,25940.384083,-17009.476365,-11759.140999,1827.478627,24.899843,7832.766513,4815.057494,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715700,0.000000
230.000000,20491.051136,18573.472628,6155.201036,14857.584519,10546.357697,-18310.683168,509.709181,-20656.275231,22144.275563,25878.693268,-17072.217711,-11821.010628,1771.643969,-32.745306,7839.114408,4803.523994,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715711,0.000000
232.000000,20539.599125,18622.579410,6202.072644,14859.149141,10586.076747,-18260.727019,552.780992,-20605.357958,22188.286148,25919.999292,-17023.513260,-11774.966034,1817.442693,15.042724,7837.058048,4815.817453,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,127.500000,80.000000,15.500000,104.000000,0.000000,0.000000,0.000000,1771493568.715722,0.000000
234.000000,20487.877189,18567.348250,6153.949339,14847.481531,10547.229415,-18319.489756,499.829710,-20662.176092,22175.679764,25905.872989,-17036.790197,-11791.707491,1803.785778,-2.726913,7840.366106,4806.586183,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715734,0.000000
236.000000,20533.541803,18617.416157,6195.858860,14858.143313,10582.053433,-18269.220682,541.538065,-20612.286998,22167.879005,25902.028489,-17046.781426,-11804.090357,1793.951010,-10.415913,7846.937519,4800.282991,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715744,0.000000
238.000000,20521.203640,18606.933189,6184.705339,14861.160798,10572.933921,-18279.547188,527.836445,-20626.480356,22213.387157,25950.129443,-16995.595931,-11752.681345,1845.628243,46.357518,7838.779132,4816.890337,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715755,0.000000
240.000000,20504.864514,18592.739832,6165.348728,14855.483455,10558.785267,-18296.758031,514.112474,-20642.730074,22167.364915,25895.904111,-17054.984516,-11809.320666,1786.552583,-1.676381,7846.468132,4804.708636,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771493568.715766,0.000000
242.000000,20547.913974,18636.996286,6203.905488,14859.350307,10587.127279,-18248.791188,553.451544,-20597.423088,22199.506724,25932.985655,-17012.024464,-11764.728935,1823.097685,24.788085,7840.880196,4812.665857,-0.002000,-0.008000,1.010000,192.000000,0.000000,0.000000,127.500000,88.000000,15.500000,80.000000,0.000000,0.000000,0.000000,1771493568.715776,0.000000
